Geneid,231_N,MCF12a_S,MCF12a_N,MCF10a_S,MCF10a_N,CA1d_S,CA1d_N,CA1a_S,CA1a_N,453_S,453_N,231_S
51421,18883,23700,18654,18067,3123,1289,2846,5439,7711,11388,6634,22092
51422,4010,4584,7029,4881,7329,1160,5739,1855,9445,2217,1586,5110
51426,3820,5367,3923,4790,5305,361,1132,590,1727,3291,3566,4490
51427,2085,5433,3560,1522,2592,109,879,198,974,5527,5530,2639
51428,7546,9733,8167,19406,19662,993,9444,2684,10405,7745,4986,8237
51429,7321,5720,8563,12234,8039,974,10189,2996,6205,3622,2810,7991
5143,305,1260,672,472,202,163,37,148,74,226,155,414
51430,9654,5522,6366,5642,6468,2158,24840,2467,9819,11481,8130,9559
51433,12772,5379,7046,16823,15260,1599,4116,2946,9444,11439,8930,13861
51434,5536,3104,5094,10855,9891,475,2927,1639,3826,6582,4895,6248
51435,439,1802,596,1359,1773,0,15,0,94,142,29,434
51438,26,6,0,0,0,0,0,0,0,2,0,42
51439,4462,2943,3469,10081,6515,1705,9458,2221,12389,7177,4071,4615
5144,12645,2479,2944,24680,33262,329,2209,609,1386,210,25,14126
51440,80,0,18,18,14,1,14,0,62,110,4,42
51441,6828,9231,11388,14877,12175,614,3984,1730,8306,8754,6735,7462
51442,0,205,1292,0,0,0,26,58,204,4,4,0
51444,2422,2938,1855,2118,2776,870,4943,113,5484,2517,2417,2864
51447,8051,13627,9875,14517,11581,1726,7104,1430,12491,12834,14301,9426
51449,13171,3404,8020,17971,12714,1094,6556,3277,9304,12738,10078,16125
5145,213,187,133,153,224,0,77,27,48,89,73,384
51450,3,1388,6044,118,210,0,84,0,79,4,0,3
51451,2210,3191,2889,2848,2038,487,4442,434,3785,2592,1811,2431
51454,4944,5128,3903,660,1086,1117,4382,1231,3468,1197,152,4664
51455,4818,9852,7655,5948,6158,1446,11402,1115,9469,6016,6685,5544
51458,7,0,1,98,77,0,19,0,29,22,61,4
5146,216,54,95,73,79,1,23,16,1,67,177,195
51460,2493,1526,2504,3067,2930,927,3329,1498,2841,4315,3803,3170
51463,1424,3287,1870,2100,1838,688,1526,388,946,2656,3333,1443
51465,5344,5377,6848,6473,6495,1217,5437,1318,6113,5902,5260,5346
51466,1579,4803,2807,4510,4039,1112,1192,873,2501,4482,5467,1414
5147,1577,2255,1844,1792,1772,56,519,428,1097,1019,649,1857
51471,9,0,0,26,2,1,2,0,3,13,62,14
51473,61,0,13,1,8,0,0,0,0,2,0,51
51474,5085,6432,7894,5695,7850,1334,6236,1581,14188,2600,3401,4751
51475,2,38,0,0,0,0,0,2,0,2,1,0
51477,2492,33602,11277,1706,1020,2482,11834,1838,8159,42336,25493,2417
51478,1895,1090,1084,6887,3025,598,6390,300,1560,3412,1099,2758
51479,9739,13892,16259,24416,17987,1810,5775,2933,7474,5399,4921,11072
5148,44,333,36,49,67,1,37,188,31,11,22,71
51480,18,0,10,0,7,0,0,0,0,3,3,23
51481,3,0,0,6,8,0,0,0,0,0,2,13
5149,2,0,14,0,1,0,0,0,0,0,0,2
51490,3732,10445,6407,5516,3791,843,1360,1053,3911,5797,3119,4494
51491,2855,3959,3201,10386,7894,823,2254,860,7721,1767,550,2886
51493,6094,2974,4648,9280,7743,652,3890,1474,6371,8249,4739,6473
51495,12259,1733,3699,13177,12397,648,3682,2880,8593,12255,11549,13273
51496,3555,5507,4369,3321,5237,378,4212,357,4874,4855,5589,3918
51497,6818,7887,8642,12890,11879,1301,10078,2141,16472,10840,8102,7911
51499,855,1304,800,2797,2288,207,898,155,1126,1092,658,965
515,7903,4056,5734,17298,22725,1014,6275,1594,8019,9401,5851,8755
5150,2538,5120,3818,1948,2905,340,3770,1287,2120,9927,10359,3171
51501,1547,1759,1467,2276,2411,207,638,350,523,2002,1382,1637
51503,2287,1953,2609,2664,3105,399,2889,632,2825,3086,2770,2435
51504,5352,3700,3488,15621,9288,2868,14147,2188,12244,5739,2785,6580
51506,3254,7394,7078,15237,10614,455,4144,609,2356,6623,3326,3549
51507,6523,4810,5840,9182,7467,2843,16357,1933,8283,5812,4097,7083
5151,13643,9183,6268,9054,9325,782,5890,2001,6555,2685,1235,14823
51510,5263,7957,9964,5862,5129,730,8037,880,6747,5395,4529,5535
51512,1585,2515,2109,5294,8465,220,1849,1261,2194,6106,561,2849
51513,11,580,268,456,110,0,10,0,22,3,2,12
51514,1851,1681,2505,4453,7259,90,957,584,980,4276,696,2389
51517,6224,3181,3235,11008,8697,518,7592,1791,7768,5172,3873,7530
5152,1464,202,39,4,9,273,184,432,811,0,0,1632
51520,20539,17298,15642,55229,55245,2655,15800,3518,23770,13502,11414,21293
51522,5949,4186,4499,10176,8651,431,2463,624,4838,4425,3233,6412
51523,3252,2978,4053,13867,10634,237,2025,5927,7425,9878,4581,3588
51524,2032,3215,2127,3201,3017,224,918,120,1263,2744,2275,2349
51526,9812,5967,6126,5057,3082,4020,20227,3563,24701,4979,3716,9530
51527,975,1201,2736,1463,1576,200,1358,689,1461,2468,1843,1015
51528,3326,2025,3264,4390,4861,175,1806,594,2353,4637,4133,3456
51529,2466,4852,5055,6854,5871,1359,4929,1280,10181,4090,2037,2642
5153,15,31,4,726,1153,0,71,0,14,21,3,21
51530,1364,1412,1545,3085,2662,0,606,203,774,933,851,1512
51531,654,1160,1693,2646,1371,19,770,385,916,228,268,808
51533,1240,633,809,636,850,65,287,218,442,912,845,1398
51534,2988,3146,4252,3685,4409,416,4295,750,2901,2523,2051,3236
51535,5840,3469,4449,7530,6506,265,5378,772,4145,4615,4685,6461
51537,694,1461,1163,3571,3681,402,2000,227,4930,1776,476,749
51538,1837,1998,2490,2840,4061,400,2087,1051,2681,1943,1360,1820
5154,6168,10150,4099,4143,4785,2467,4479,802,10404,3888,2211,6782
51540,9,3,51,12,16,2,1,140,54,25,17,12
51542,4107,3682,3677,3779,4706,610,1540,1257,2070,2504,2333,4508
51545,5330,4213,2627,5353,3117,2357,4365,1512,9548,2493,1064,5199
51547,4448,8201,11598,5593,4101,2008,18961,2380,11801,4435,3288,5058
51548,2342,3921,3146,3567,2427,1707,10178,1565,5201,2669,1798,2777
5155,3745,266,252,15,2,113,99,526,1071,7049,3832,4087
51550,818,1278,1709,3461,3541,41,1092,708,1689,2793,1638,913
51552,9402,7239,10779,14442,13574,3683,30366,3036,30561,13185,11744,10007
51554,537,74,124,123,252,0,103,1,112,162,163,576
51555,335,0,45,355,289,0,86,1,58,151,201,321
51557,11,366,242,620,80,0,36,34,16,43,40,6
51559,13942,640,1332,3965,3444,916,9804,1535,9338,3397,1560,18115
5156,13,0,14,162,12,40,2,0,0,2,0,14
51560,1460,144,445,970,1020,449,1565,485,1731,413,369,1353
51561,416,194,184,196,122,0,54,0,25,79,112,404
51562,3469,764,1161,1528,1213,127,1270,37,1242,1625,1699,4035
51564,10324,28069,20978,22047,13935,3335,9540,6588,23030,11560,6821,10653
51566,6171,1768,3378,1400,1520,65,0,0,9,6344,6979,6283
51567,3170,5404,7624,5016,3941,1441,9558,1555,7209,2024,1928,3446
51569,8065,4432,6657,6875,4747,1719,4859,1187,8137,7774,7058,8132
5157,689,64,27,2280,574,0,52,79,99,0,1,640
51571,6259,6015,8515,8385,10922,2119,6665,1513,7192,6708,4071,7241
51573,6336,6999,12226,14524,10683,1019,3766,3210,9490,9749,9167,6789
51574,2127,2663,2897,4595,4890,18,1996,379,1715,2252,2402,2294
51575,4660,3059,3488,4967,5971,416,1635,346,3367,3544,2882,4312
5158,66,182,44,49,104,0,67,0,9,84,118,78
51582,15991,15738,19982,20933,18100,2684,18165,3253,17921,20060,12886,16817
51585,8994,16798,14327,12247,11182,1349,16626,2047,9066,10729,11964,10488
51586,11338,12039,13586,20308,15694,2951,14798,4969,17904,18334,14637,13018
51588,3613,6839,6635,5662,4644,1047,10955,1936,9263,4453,3930,3932
5159,2884,67,56,355,197,0,5,1,42,20,1,3713
51592,16185,7440,7856,9913,9296,5406,43065,1874,16582,7454,6280,17614
51593,14040,34742,23078,28938,20771,10232,65550,3739,36302,11577,9091,16016
51594,12672,9560,10211,13674,12954,1584,8224,2308,15050,9101,8197,13499
51596,272,880,139,769,158,159,2533,71,575,476,209,401
51599,6391,24745,33440,1766,916,3131,9020,7328,34269,15333,6690,6801
516,2099,2096,3628,10807,9523,571,2495,961,9453,2983,2002,2564
5160,6226,3283,5538,12300,12737,1526,7870,1302,8772,6687,4366,6565
51601,432,828,746,695,573,0,123,50,182,485,581,425
51602,4911,6946,5778,10220,11634,3502,22477,1192,17651,8238,4978,5466
51603,4642,10688,9945,12250,7138,1270,2055,1815,3492,6836,4836,5415
51604,11737,6822,10097,16612,10087,1843,6785,2696,7148,10249,5590,14073
51605,2947,1701,2067,7457,4914,1671,6478,248,4379,3137,1812,3406
51606,2703,5761,8663,8835,5871,1061,5091,1094,4217,4884,3201,3159
51608,4576,10087,9222,6262,4321,2524,18420,3998,19112,6378,5007,4965
5161,0,0,0,1,1,0,0,0,0,1,0,0
51611,4211,1232,1051,2813,2747,288,2010,164,1672,1716,1068,4500
51614,8547,19179,18701,23393,17648,4766,17467,5088,24828,16668,9800,9760
51616,4553,294,720,1493,5253,42,913,220,1109,1759,2136,4368
51617,18,0,0,8,27,89,21,108,18,19,28,35
51619,1522,1443,1644,1395,1161,3,310,312,645,1379,1344,1616
5162,4135,2007,2716,9246,9489,156,3367,644,3644,4181,3083,5073
51621,1320,209,194,648,377,136,428,91,729,365,323,1497
51622,1227,812,1165,2457,2067,78,2270,409,1642,1051,920,1414
51626,930,1005,812,1302,1623,0,515,86,455,1098,1141,963
51629,13325,15170,11427,24122,16397,8558,25448,14719,55761,10812,4801,15061
5163,6663,3966,2456,4393,12913,1287,5487,298,4077,3251,3666,8560
51631,1798,10395,6286,4608,3033,483,4590,954,5667,3302,2499,2152
51633,3018,5307,4165,2655,2732,302,3667,428,2718,2991,2114,3415
51634,1715,1127,1198,1833,1915,101,2137,372,1733,1293,1026,2068
51635,4697,2497,5352,3523,2415,942,1546,1585,4136,13166,6012,4075
51637,8862,3568,4361,6527,8831,1685,11577,1014,5565,5279,4205,8618
51639,4024,2714,2197,2338,3595,1053,10566,317,3881,1357,1262,3194
5164,1837,3070,4125,4125,2612,0,406,1642,1284,2477,2311,2329
51642,2168,1283,1257,1799,1988,259,1309,240,1797,1529,1138,2188
51643,2742,8021,11901,5363,4832,471,799,508,2051,3296,2703,3397
51645,2458,541,1156,2770,2915,379,650,348,1382,1331,600,2631
51646,6599,5829,7352,4597,3028,2364,28901,1979,18078,4475,3850,6872
51647,4287,2446,3166,4005,3763,2227,9619,1493,4655,2355,1652,4356
51649,2288,1580,2581,4994,5069,694,1098,453,4689,1184,602,2611
5165,7527,1061,782,12944,9561,315,4586,3181,4806,5277,5190,9063
51650,1097,1677,2390,2146,2951,182,724,272,938,1352,860,1118
51651,2762,1414,1994,2915,3169,486,2505,881,2116,4371,3047,2979
51652,79,629,242,104,77,0,81,3,116,65,62,95
51654,2873,3449,3842,5611,4424,686,5398,1159,6268,5088,5468,3283
51655,24384,19924,6490,286,495,32,69,52,239,414,570,26125
51657,3401,4661,4527,2652,2749,70,483,598,904,1645,1444,3438
51659,484,877,783,1247,1523,381,1041,217,713,835,316,770
5166,5888,20529,35133,18701,36231,927,2941,4048,8523,6,0,11963
51660,1071,1424,1756,2414,2103,734,808,848,1574,3980,2219,1165
51661,1802,236,339,873,726,0,97,61,63,51,29,1876
51663,19853,11013,12494,21049,19088,3454,16046,3585,14471,12947,11547,21467
51665,20143,5613,5342,11173,7103,3059,17389,2854,19328,5794,4538,18213
51666,389,0,8,6,5,3,26,0,16,0,0,388
51667,13596,10871,11301,16859,6885,1725,9179,2008,6178,5373,4636,14399
51668,971,1539,1433,1115,1861,111,3706,111,1361,1567,748,1328
51669,11843,7744,9212,25364,18606,3808,16539,4781,13868,8415,6183,12350
5167,5406,476,185,1114,1757,181,13,235,72,11517,13348,5577
51673,223,271,96,6,2,298,46,94,105,24,19,210
51676,0,0,0,0,0,0,0,0,0,0,0,0
51678,5031,3341,3383,3338,4516,469,1491,356,2234,3674,2224,5134
5168,376,24,12,392,551,0,20,0,0,2,8,289
51684,2887,4494,4755,3973,3009,997,1078,1163,1498,4386,4897,3143
51686,231,45,74,232,191,0,151,46,158,709,1528,240
5169,34,0,0,0,0,0,6,0,2,14,422,30
